"0","Alimento","Calorias","Hidratos","Proteinas","Grasas","Fibras"
"213","MERLUZA","46","11","0","0","10"
"214","NUECES","525","5","11","52","5"
"215","NUEZ BRASIL","617","4","12","62","9"
"216","OSTRAS","70","5","9","1","0"
"217","PALMITOS ENLATADOS","45","8","3","0","0"
"218","PALOMA","106","0","22","2","0"
"219","PALOMITAS MAIZ","54","11","2","1","0"
"220","PAN BLANCO","233","50","8","2","3"
"221","PAN CON CHOCOLATE","419","51","7","21","2"
"222","PAN INTEGRAL","216","42","9","3","8"
"223","PAN TOSTADO BLANCO","297","65","10","2","3"
"224","PASTA","373","82","13","2","0"
"225","PASTAS AL HUEVO","378","84","14","1","3"
"226","PATATAS","533","49","6","36","12"
"227","PATATAS","80","20","1","0","1"
"228","PATATAS CRUDAS","87","21","2","0","2"
"229","PATATAS FRITAS","253","37","4","11","0"
"230","PATO","326","0","16","29","0"
"231","PAVO","107","0","22","2","0"
"232","PEPINO","10","2","1","0","0"
"233","PERAS","41","11","0","0","2"
"234","PERCEBES","59","0","14","0","0"
"235","PERDIZ","106","0","23","2","0"
"236","PEREJIL","21","0","5","0","9"
"237","PERRITO-CALIENTE CON MOSTAZA","308","33","11","14","0"
"238","PESCADILLA","92","0","21","0","0"
"239","PETIT-SUISSE QUESO TIPO","173","4","8","14","0"
"240","PICHÓN","182","0","21","10","0"
"241","PIMIENTO","15","2","1","0","1"
"242","PIPAS GIRASOL","597","14","22","50","5"
"243","PISTACHOS","602","13","21","52","6"
"244","PIZZA QUESO TOMATE","234","25","9","12","0"
"245","PIÑA","46","12","0","0","1"
"246","PIÑA EN ALMIBAR ","83","20","0","0","1"
"247","PLÁTANO","79","19","1","0","3"
"248","POLLO","121","0","20","4","0"
"249","POLLO FRITO KENTUCKY","155","5","13","9","0"
"250","POLLO PECHUGAS KENTUCKY","436","34","25","22","0"
"251","POMELO","22","5","0","0","0"
"252","PUERRO","31","6","2","0","3"
"253","PULPO","57","2","11","1","0"
"254","QUESO AZUL","355","0","23","29","0"
"255","QUESO TIPO BABIBEL","314","0","23","25","0"
"256","QUESO BRIE","361","1","23","28","0"
"257","QUESO BURGOS","167","3","11","11","0"
"258","QUESO CABRA","250","2","17","18","0"
"259","QUESO CAMEMBERT","300","0","23","23","0"
"260","QUESO CHEDAR","406","0","26","34","0"
"261","QUESO EMMENTAL","377","0","29","29","0"
"262","QUESO GOUDA","346","0","25","27","0"
"263","QUESO GRUYERE","406","0","26","34","0"
"264","QUESO MOZZARELLA","236","0","20","16","0"
"265","QUESO PARMESANO","408","0","35","30","0"
"266","QUESO PIRINEOS","355","0","22","30","0"
"267","QUESO PORCIONES","283","1","18","23","0"
"268","QUESO QUARK","167","3","11","11","0"
"269","QUESO ROQUEFORT","355","0","23","29","0"
"270","QUESO BLANCO DESNATADO","68","3","10","2","0"
"271","QUESO FRESCO MG. 20 %","79","4","8","3","0"
"272","QUESO MANCHEGO CURADO","420","1","32","32","0"
"273","QUESO MANCHEGO FRESCO","333","0","26","25","0"
"274","QUESO MANCHEGO SEMICURADO","390","0","29","29","0"
"275","QUICHE LORRAINE BACÓN-QUESO","391","21","15","28","0"
"276","RÁBANO","15","3","1","0","0"
"277","RABO VACUNO","171","0","20","10","0"
"278","RAVIOLIS TOMATE SALSA","106","13","5","4","0"
"279","REFRESCO LIGTH","1","0","0","0","0"
"280","REMOLACHA COCIDA","44","10","2","0","2"
"281","REPOLLO","29","3","3","0","3"
"282","REQUESÓN","102","0","12","5","0"
"283","RIÑÓN CORDERO","90","0","16","3","0"
"284","RIÑÓN VACUNO","86","0","16","3","0"
"285","RODABALLO","102","1","16","4","0"
"286","RON","222","0","0","0","0"
"287","SAL","0","0","0","0","0"
"288","SALAMI","491","2","19","45","0"
"289","SALCHICHAS CERDO","367","10","11","32","0"
"290","SALCHICHAS ENLATADAS","243","0","13","20","0"
"291","SALCHICHAS FRANCFORT","274","3","10","25","0"
"292","SALCHICHÓN","454","2","26","38","0"
